  400  1.0000E-03
   i   x             den           ener          pres          vel           cs
  229  1.142500E+00  1.719566E+00  5.954535E+05  4.095687E+05  5.806525E+02  5.774547E+02
  230  1.147500E+00  1.750519E+00  5.887785E+05  4.122672E+05  5.838828E+02  5.742090E+02
  231  1.152500E+00  1.782157E+00  5.822007E+05  4.150292E+05  5.871278E+02  5.709925E+02
  232  1.157500E+00  1.814500E+00  5.757181E+05  4.178562E+05  5.903876E+02  5.678046E+02
  233  1.162500E+00  1.847571E+00  5.693287E+05  4.207500E+05  5.936623E+02  5.646451E+02
  234  1.167500E+00  1.881391E+00  5.630307E+05  4.237123E+05  5.969521E+02  5.615133E+02
  235  1.172500E+00  1.915983E+00  5.568222E+05  4.267447E+05  6.002571E+02  5.584089E+02
  236  1.177500E+00  1.951371E+00  5.507015E+05  4.298493E+05  6.035773E+02  5.553313E+02
  237  1.182500E+00  1.987581E+00  5.446667E+05  4.330277E+05  6.069130E+02  5.522801E+02
  238  1.187500E+00  2.024638E+00  5.387161E+05  4.362820E+05  6.102641E+02  5.492550E+02
  239  1.192500E+00  2.062569E+00  5.328480E+05  4.396142E+05  6.136309E+02  5.462553E+02
  240  1.197500E+00  2.101401E+00  5.270608E+05  4.430264E+05  6.170133E+02  5.432808E+02
  241  1.202500E+00  2.141163E+00  5.213529E+05  4.465205E+05  6.204116E+02  5.403310E+02
  242  1.207500E+00  2.181885E+00  5.157225E+05  4.500990E+05  6.238257E+02  5.374055E+02
  243  1.212500E+00  2.223599E+00  5.101683E+05  4.537639E+05  6.272559E+02  5.345038E+02
  244  1.217500E+00  2.266336E+00  5.046887E+05  4.575177E+05  6.307021E+02  5.316255E+02
  245  1.222500E+00  2.310130E+00  4.992821E+05  4.613627E+05  6.341644E+02  5.287703E+02
  246  1.227500E+00  2.355016E+00  4.939472E+05  4.653015E+05  6.376430E+02  5.259377E+02
  247  1.232500E+00  2.401030E+00  4.886824E+05  4.693365E+05  6.411379E+02  5.231273E+02
  248  1.237500E+00  2.448210E+00  4.834864E+05  4.734705E+05  6.446491E+02  5.203387E+02
  249  1.242500E+00  2.496594E+00  4.783578E+05  4.777061E+05  6.481768E+02  5.175716E+02
  250  1.247500E+00  2.546224E+00  4.732953E+05  4.820463E+05  6.517209E+02  5.148256E+02
  251  1.252500E+00  2.597141E+00  4.682975E+05  4.864938E+05  6.552816E+02  5.121002E+02
  252  1.257500E+00  2.649390E+00  4.633631E+05  4.910518E+05  6.588588E+02  5.093951E+02
  253  1.262500E+00  2.703016E+00  4.584909E+05  4.957233E+05  6.624527E+02  5.067099E+02
  254  1.267500E+00  2.758067E+00  4.536796E+05  5.005116E+05  6.660632E+02  5.040442E+02
  255  1.272500E+00  2.814593E+00  4.489280E+05  5.054199E+05  6.696905E+02  5.013977E+02
  256  1.277500E+00  2.872645E+00  4.442349E+05  5.104518E+05  6.733344E+02  4.987700E+02
  257  1.282500E+00  2.932278E+00  4.395991E+05  5.156107E+05  6.769951E+02  4.961608E+02
  258  1.287500E+00  2.993546E+00  4.350195E+05  5.209004E+05  6.806726E+02  4.935696E+02
  259  1.292500E+00  3.056509E+00  4.304949E+05  5.263246E+05  6.843668E+02  4.909961E+02
  260  1.297500E+00  3.121227E+00  4.260242E+05  5.318873E+05  6.880778E+02  4.884399E+02
  261  1.302500E+00  3.187764E+00  4.216063E+05  5.375926E+05  6.918056E+02  4.859008E+02
  262  1.307500E+00  3.256186E+00  4.172402E+05  5.434447E+05  6.955502E+02  4.833782E+02
  263  1.312500E+00  3.326562E+00  4.129248E+05  5.494479E+05  6.993115E+02  4.808720E+02
  264  1.317500E+00  3.398964E+00  4.086590E+05  5.556068E+05  7.030895E+02  4.783817E+02
  265  1.322500E+00  3.473467E+00  4.044419E+05  5.619261E+05  7.068842E+02  4.759070E+02
  266  1.327500E+00  3.550149E+00  4.002724E+05  5.684107E+05  7.106957E+02  4.734475E+02
  267  1.332500E+00  3.629093E+00  3.961496E+05  5.750655E+05  7.145238E+02  4.710029E+02
  268  1.337500E+00  3.710384E+00  3.920725E+05  5.818958E+05  7.183685E+02  4.685729E+02
  269  1.342500E+00  3.794111E+00  3.880402E+05  5.889070E+05  7.222297E+02  4.661571E+02
  270  1.347500E+00  3.880369E+00  3.840517E+05  5.961048E+05  7.261075E+02  4.637552E+02
  271  1.352500E+00  3.969253E+00  3.801061E+05  6.034949E+05  7.300017E+02  4.613669E+02
